DeptName,SellerName,PhoneNumber,EmailAddress,SKU,ItemName,ItemType,Price,QuantityAvailable
Kitchen,KitchenAid,3095551234,person@kitchenaid.com,1111,Spatula,Utensil,5.00,60
Kitchen,KitchenAid,3095551234,person@kitchenaid.com,1112,Mixer,Appliance,300.00,10
Kitchen,Whirlpool,3095554567,person@whirlpool.com,2225,Refrigerator,Appliance,1000.00,3
Kitchen,Whirlpool,3095554567,person@whirlpool.com,2225,Mixer,Appliance,1000.00,3
Electronics,Apple,3095552468,person@apple.com,22,iPhone,Phone,1000.00,69
Electronics,Apple,3095552468,person@apple.com,23,iPad,Tablet,1000.00,6
Electronics,Apple,3095552468,person@apple.com,21,iMac,Computer,1000.00,62
Electronics,Microsoft,3095553579,person@microsoft.com,10,Windows,OS,200.00,999999
Clothing,Gucci,3095559876,person@gucci.com,2992,Hat,Hat,3000.00,9
Clothing,Gucci,3095559876,person@gucci.com,2993,Hat2,Hat,3001.00,4
Clothing,Gucci,3095559876,person@gucci.com,2994,Pant,Pants,1500.00,2
Clothing,Gucci,3095559876,person@gucci.com,2995,Bag,Handbag,500.00,6
Clothing,Reebok,3095561234,person@reebok.com,7785,Hat,Hat,10.00,199
Clothing,Reebok,3095561234,person@reebok.com,7786,Jeans,Pants,11.00,99
Clothing,Reebok,3095561234,person@reebok.com,7785,Backpack,Backpack,16.00,139
Everything,Yamaha,3093593821,person@yamaha.com,123,Golf Cart,Sports,1000.00,4
Everything,Yamaha,3093593821,person@yamaha.com,124,Saxophone,Instrument,2000.00,16
Everything,Yamaha,3093593821,person@yamaha.com,125,Motorcycle,Movement,4000.00,64
